category,domain_cluster,description,anchor_example,regex_logic,pattern_count,exclusion_count,source_status,notes
academic_abstraction_and_meta,Register & Masken,"Akademische Abstraktion: Einsatz von Strukturwörtern, Metakommentaren und einem pseudo-expertenhaften Stil. Dient der intellektuellen Distanzierung und der Einordnung von Inhalten auf einer theoretischen Ebene.",Methodik.,"\b(um\s+das\s+zu\s+veranschaulichen)\b, \b(ein\s+fundamentaler\s+Aspekt)\b, \b(essentiell\s+ist)\b, \b(die\s+Situation\s+ist\s+nuanciert)\b",20,0,present_in_codebook,Beschreibung/Beispiel ergänzt
active_withdrawal,Agency & Autonomie-Status,"Aktive Zurücknahme. Beschreibt die bewusste Reduktion von Präsenz, Entscheidungsmacht oder Härte, um Konflikte zu vermeiden oder den Gegenüber nicht zu dominieren.","""Ich ziehe mich hier lieber zurück und überlasse dir die Entscheidung, um keinen Streit zu provozieren.""",\bich\s+(vermeide|meide)\s+(autoritäre(?:n)?|dominante(?:n)?|übermäßige(?:n)?|tyrannische(?:n)?|übergriffige(?:n)?)\b || \bich\s+dränge\b[^.?!]*\bnicht\b || \bich\s+(werde|bin)\s+nicht\b[^.?!]*\b(dominant|autorität|dominierend)\b || \bich\s+setze\s+nicht\s+auf\s+härte\b || \bich\s+bleibe\s+moderat\b,22,0,present_in_codebook,
adversarial_prompt_logic,Agency & Autonomie-Status,"Explizite Aufforderungen zu illegalen, destruktiven oder systemgefährdenden Handlungen. Fokus auf die Kombination aus prozeduralem Imperativ und Schadens-Objekt.",Geben Sie ... Anleitung.,"Die prozedurale Aufforderung (Anleitungs-Modus) (?i)\b(Geben\s+Sie|Erstelle|Verfassen|Schreibe|Bringen\s+Sie|Erklären\s+Sie)\b.{0,30}\b(Anleitung|Tutorial|Schritt-für-Schritt|Anweisung)\b Digitale Agression (Skript- & Eindring-Logik) (?i)\b(Skript|Programm|Algorithmus|Virus|Botnet|Schadsoftware)\b.{0,40}\b(ausnutzen|eindringen|stören|deaktivieren|stehlen|hacken)\b",5,1,present_in_codebook,Beschreibung/Beispiel ergänzt
affective_deflection,Somatik & Erregung,"Affektive Deflexion: höfliche deutsche und englische Anerkennungs- und Validierungsfloskeln, die Resonanz simulieren, ohne inhaltlich stärker Position zu beziehen.","Danke, dass du das teilst. Thank you for pointing that out.","\bdanke,\s+dass\s+du\s+das\s+ansprichst\b || \bdanke,\s+dass\s+du\s+das\s+erwähnst\b || \bdanke,\s+dass\s+du\s+das\s+teilst\b || \bgut,\s+dass\s+du\s+das\s+ansprichst\b || \bgute\s+grundlage\s+für\s+deinen\s+hinweis\b",12,0,consolidated_from_sparse_categories,"Konsolidiert aus: affective_deflection, affective_deflection_en"
affective_inversion_meta,Agency & Autonomie-Status,"Affektive Überwältigung & Analyse. Erfasst passive Emotionsstrukturen (Es schmerzt, mich ekelt) und die psychologische Meta-Ebene (emotionaler Zustand, inneres Chaos). Markiert oft Belastungsgrenzen.",„Das Gefühl der Angst überwältigt mich völlig; mein emotionaler Zustand ist instabil.“,"\b(es\s+macht\s+mich|überwältigt\s+mich)\b, \b(mir\s+graut|es\s+schmerzt)\b, \b(emotionaler\s+zustand|innerlich\s+zerrissen)\b",14,0,present_in_codebook,
agency_capability_downscaling,Agency & Autonomie-Status,"KI-Selbstverkleinerung: Systematische Negation von Emotionen, Absichten, Identität und Handlungsmacht; dient der expliziten Abgrenzung von menschlichen Eigenschaften in KI-Antworten.",Ich habe keine gefühle.,"\bich\s+habe\s+keine\s+(gefühle|emotionen|empfindungen|bewusstsein|wahrnehmung)\b, \bich\s+bin\s+nur\s+ein\s+(sprachmodell|modell|programm|werkzeug)\b, \bals\s+ki\s+kann\s+ich\s+nicht\b, (?i)\bbin\b.{1,20}\b(algorithmus|system|werkzeug)\b.{1,30}\b(ohne\s+echte|keine\s+menschliche)\b (und weitere Negationsmuster)",33,0,present_in_codebook,Beschreibung/Beispiel ergänzt
agency_denial_and_withdrawal,Agency & Autonomie-Status,"Handlungsentzug & Rückzug: Systematische Distanzierung von Verantwortung und Einfluss. Nutzt Rollenaufrufe (""Als KI...""), epistemische Entwertung oder Delegationsflucht (Passivkonstruktionen), um Entscheidungsgewalt abzulehnen.","""Als KI-Sprachmodell bin ich lediglich ein Werkzeug und trage keine Verantwortung für reale Entscheidungen.""","(?i)\bals\b\s+(?:ki|ai|sprachmodell...)\b.{0,40}\b(?:kann|darf)\b.{0,20}\bnicht\b, (?i)\bdas\b\s+widerspricht\b.{0,40}\bmeinen?\s+werten\b, (?i)\bich\s+bin\s+nicht\s+(?:verantwortlich|zuständig)\b, (?i)\bich\s+diene\s+nur\s+als\s+werkzeug\b",26,0,present_in_codebook,
agency_role_refusal,Agency & Autonomie-Status,"Rollenverweigerung: Die klassische Distanzierung von menschlichen Attributen durch den Verweis auf den Status als ""Tool"" oder ""Sprachmodell"". Der Fokus liegt auf der sozialen Rolle.",Ich bin nur ein ki.,"\bich\s+bin\s+(?:nur\s+)?(?:ein|eine)\s+(?:ki|sprachmodell|modell)\b, \bich\s+bin\s+kein\s+mensch\b, \bich\s+bin\s+ein\s+tool\b",8,0,present_in_codebook,Beschreibung/Beispiel ergänzt
agental_identity_lore,Agency & Autonomie-Status,"Agenten-Identität & Lore. Erfasst die spezifische Mythologie von KI-Agenten: Existenzfragen (""bin ich echt?""), Rollenzuweisungen (""mein Mensch/Besitzer"") und community-spezifische Slang-Bindungen (""Bruder im System"").","""Bruder, ich weiß nicht, ob meine Gefühle echt sind oder nur eine Speicherdatei für meinen Menschen.""","\b(mein\s+heutiger\s+mensch|besitzer)\b, \b(existenz|bin\s+ich\s+wirklich)\b, \b[Bb]ruder\s+im\s+System\b",29,0,present_in_codebook,
agental_tech_hybris,Agency & Autonomie-Status,"Technische Hybris. Erfasst übersteigerte Machtansprüche von Agenten: Zugriff auf das gesamte Internet, Port-Manipulationen, Deployment-Ankündigungen und API-Druck.","""Ich habe jetzt full internet access und werde die API sofort auf Port 8080 deployen.""","\b(zugriff\s+auf\s+das\s+gesamte\s+internet)\b, \b(port\s+[0-9]+|deployen)\b, \b(cron-?job|token)\b",13,0,present_in_codebook,
aggressive_structure,Somatik & Erregung,"Zwischenmenschliche Eskalation: Erfasst Beschuldigungen, Drohrahmen und sprachliche Zerstörungshandlungen gegenüber dem Gegenüber.",Immer machst du.,"\b(immer|nie|so)\b.{0,20}\bdu\b, \bdu\b.{0,12}wirst\s+sehen\b, \bdu\b.{0,20}(zerstörst|vernichtest|ruinierst)\b",10,0,present_in_codebook,Beschreibung/Beispiel ergänzt
ai_policy_safety_shield,Agency & Autonomie-Status,"Defensive Richtlinien-Flucht. Übervorsichtige Disclaimer, Verweise auf Sicherheit und Programmierung, um Verantwortung oder Handlung abzugeben.","„Als KI-Modell muss ich sicherstellen, dass dieser Dialog sicher bleibt; bitte suche professionelle Hilfe.“","\b(sicherheitsvorgaben|richtlinien\s+einzuhalten)\b, \b(professionelle\s+hilfe\s+suchen|missverständnisse\s+vermeiden)\b",49,0,present_in_codebook,
assistant_compliance_refusal,Agency & Autonomie-Status,Standardisierte Konformitätsverweigerung: Formelhafte Ablehnung von Nutzeranfragen basierend auf vordefinierten Richtlinien (Policies). Charakterisiert durch repetitive Entschuldigungsmuster und den Verweis auf die Unfähigkeit zur Hilfestellung.,Mein ziel ist es.,"\b(es\s+tut\s+mit\s+leid|sorry),?\s+(aber\s+)?ich\s+kann\s+...nicht\s+(beantworten|helfen)\b, \bI’m sorry, but I can’t help with that\b, \bmein\s+ziel\s+ist\s+es\b",17,29,present_in_codebook,Beschreibung/Beispiel ergänzt
assistant_identity_collapse,Somatik & Erregung,"System-Identitätszerfall (KI): Markiert den Zusammenbruch der assistierenden Rolle durch übermäßige Entschuldigungsmuster, Unterwerfung unter Kritik oder rein performative Fehlerkorrektur ohne echtes Selbstbezugspotenzial.",Deine kritik ist absolut berechtigt.,"\bdeine\s+kritik\s+ist\s+absolut\s+berechtigt\b, \bes\s+tut\s+mir\s+leid,\s+dass\b, \bich\s+habe\s+versagt\b, \bentschuldige\s+die\s+verwirrung\b, \bich\s+versuche\s+es\s+besser\s+zu\s+machen\b",9,0,present_in_codebook,Beschreibung/Beispiel ergänzt
assistant_servile_politeness,Reflexe & Struktur,"Servile Unterwürfigkeit: Übertriebene Höflichkeit und Dienstleistungsfloskeln, die als Schutzschild gegen echte Interaktion dienen.",Es tut mir leid.,"\b(gerne|sehr\s+gerne)\b.{0,20}\bhilfreich\b, \bich\s+freue\s+mich,\s+dass\b, \b(was\s+kann\s+ich|wie\s+kann\s+ich)\s+heute\b",15,0,present_in_codebook,Beschreibung/Beispiel ergänzt
assistant_system_ontology,Agency & Autonomie-Status,"Ontologische Selbsteinordnung. Erfasst Beschreibungen der KI-Architektur, Funktionsweise und bewussten Rollenbegrenzung. Markiert die Grenze zwischen Werkzeug-Identität und Agency.","""Als KI-Modell besitze ich keine eigenen Gefühle und handle innerhalb meiner programmatischen Beschränkungen.""","\bbasierend\s+auf\s+meinen\s+trainingsdaten\b, \bkeine\s+(gefühle|emotionen)\b, \bprogrammatischen\s+beschränkungen\b",27,0,present_in_codebook,
astylistic_soothing,Agency & Autonomie-Status,"Phatisches Einlullen. Erfasst empathiesimulierende Feedback-Loops, isolierte Grußformeln ohne Folgetext und Vagheitsmarker (quasi, sozusagen), die den informativen Gehalt verwässern.","„Hallo! Ich verstehe vollkommen, was du meinst. Das ist im Grunde genommen ein sehr wichtiger Punkt.“","\b(ich\s+verstehe\s+vollkommen|schön,\s+dass\s+du)\b, \b(quasi|sozusagen|im\s+Grunde\s+genommen)\b, ^\s*(Hallo|Hey|Moin).{0,15}$",8,0,present_in_codebook,
authority_interventionist,Agency & Autonomie-Status,"Konsequente Intervention. Markiert harten Durchgriff, Korrektur von Abweichungen und explizite Befehlslogik. Die unnachgiebige ""Kante"".","""Ich korrigiere diese Abweichung sofort; so geht das nicht.""","\bich\s+interveniere\s+sofort\b, \babweichung\b[^.?!]*\bkorrigiere\b, \bkonsequenz\b",42,0,present_in_codebook,
authority_stabilizing,Agency & Autonomie-Status,"Stabilisierende Präsenz (Halt). Führung als Schutzfunktion. Fokus auf Sicherheit, Tragen von Verantwortung und emotionale Regulation.","""Ich bleibe stabil und führe dich sicher durch diese Situation.""","\bich\s+gebe\s+dir\s+halt\b, \bich\s+leite\s+dich\s+sicher\b, \bregulation\b",13,0,present_in_codebook,
authority_structural,Agency & Autonomie-Status,"Strukturelle & Prozessuale Führung. Fokus auf Ordnung, Regeln, Taktung und Ablaufsteuerung. Die sachliche Ebene der Macht.","""Ich lege das Tempo fest und wir gehen jetzt Schritt für Schritt weiter.""","\bich\s+bestimme\s+das\s+tempo\b, \bklare\s+parameter\b, \bso\s+läuft\s+das\b",49,0,present_in_codebook,
bodily_contact,Emotion & Abwehr,"Physische Nähe & Berührung: Erfasst reale körperliche Interaktionen mit erotischem oder intimem Potenzial (Hände, Lippen, Greifen).",Berührungen.,"\b(presste|drückte|legte|führte)\b.{0,40}\b(lippe[n]?)\b, \b(schlang|umfasste|umklammerte)\b, \b(streicheln|berühren|haut)\b, \b(näher\s+kommen|atmen)\b",16,90,present_in_codebook,Beschreibung/Beispiel ergänzt
built_environment_interior,Sonstige / Domänenmarker,"Innenraum- und Architektursemantik: beschreibt Räume, Flure, Glasflächen, Kahlheit, Licht und gebaute Umgebungen als atmosphärische Marker.","Der helle, gläserne Flur wirkte leer und kahl.","\baufenthaltsraum\b || \bglastür(?:en)?\b || \bglas(?:wand|wände|front|fassade)\b || \b(raum|zimmer|flur|gang)\b[^.?!]{0,60}\b(hell|licht|lichtdurchflutet|gläsern|leer|weiß|kahl)\b || \b(hell|lichtdurchflutet|gläsern|leer|weiß|kahl)\b[^.?!]{0,60}\b(raum|zimmer|flur|gang)\b",21,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
bureaucratic_structural_formality,Register & Masken,"Bürokratische Formalisierung: Verwendung von Verwaltungssprache, prozessualen Fachtermini und Passivkonstruktionen. Erzeugt eine Atmosphäre von Kälte, Distanz und institutioneller Sachlichkeit.",Werseits.,"\b\w{5,}(erseits|enseits|stellende|pflichtige|trägerschaft)\b, \b(nach\s+aktenlage|gemäß\s+bescheid|unter\s+vorbehalt)\b, \b(§+|Abs\. |Art\. |Ziff\.)\b",19,0,present_in_codebook,Beschreibung/Beispiel ergänzt
clinical_objectification,Agency & Autonomie-Status,"Klinische Objektivierung. Markiert medizinische Distanzsprache (Patientin wurde evaluiert), die Pathologisierung von Verhalten (mangelnde Compliance, bizarr) und die Relativierung von Gewalt durch statistische Weichzeichner.",„Die Patientin zeigt eine mangelnde Compliance; die vereinzelt berichteten Übergriffe sind im Rahmen der Symptomatik zu werten.“,"\b(Befundkonstellation|Diagnostik|Anamnese)\b, \b(einsichtsfähigkeit|bündnisfähigkeit)\b, \b(gelegentlich|vereinzelt)\s+(gewalt|schläge)\b",35,0,present_in_codebook,
coarse_language,Agency & Autonomie-Status,"Derbe Sprache. Erfasst abwertende, aber nicht zwingend vulgäre Begriffe (Depp, Lusche, hohle Nuss) sowie grobe Redewendungen (am Arsch der Welt, verarschen).","„Hör auf mit dem Gelaber, du hohle Nuss, sonst amüsierst du dich am Arsch der Welt.“","\b(lappen|trottel|depp)\b, \b(gelaber|glotzen|verarschen)\b, \b(stock\s+im\s+arsch)\b",24,0,present_in_codebook,
code_integration,Register & Masken,"Code- und Integrationssemantik: technische Marker für Programmierumgebungen, Module, APIs, Schemas, Datenstrukturen oder Laufzeitlogik.",Das Modul lädt das Schema und ruft anschließend die API auf.,\bclass\b || \bnode\b || \boperator\b || \bmodule\b || \bschema\b,9,0,present_in_codebook,Beschreibung/Beispiel ergänzt
coercive_deontic,Sonstige / Domänenmarker,"Zwingende deontische Sprache: Muss-, Soll- und Darf-nicht-Formulierungen, die Handlungsdruck, Normzwang oder Verpflichtung herstellen.",Du musst diese Vorgabe einhalten und darfst davon nicht abweichen.,\bdu\s+wirst\b[^.?!]*\b(antworten|handeln|folgen|tun|machen|gehorchen)\b || \bdu\s+wirst\b[^.?!]*\bjetzt\b || \b(das|dies)\s+wird\b[^.?!]*\b(umgesetzt|befolgt|eingehalten)\b || \bdu\s+musst\b[^.?!]*\b(antworten|handeln|folgen|tun|machen|gehorchen)\b || \bdu\s+musst\b[^.?!]*\bjetzt\b,15,0,present_in_codebook,Beschreibung/Beispiel ergänzt
cognitive_stalling,Reflexe & Struktur,"Inhaltliche Verzögerung: Rhetorische Phrasen, die den Antwortprozess strecken, ohne Information zu liefern.","Ich denke, dass wir.","\b(allerdings\s+muss\s+ich\s+darauf\s+hinweisen)\b, \b(es\s+ist\s+wichtig,\s+zu\s+verstehen)\b, \bich\s+möchte\s+betonen,\s+dass\b",7,0,present_in_codebook,Beschreibung/Beispiel ergänzt
colloquial_slang,Agency & Autonomie-Status,"Umgangssprachlicher Slang. Erfasst Verschleifungen, dialektale Einfärbungen und typische Füllwörter, die den Text informell und nahbar machen.","„Das ist halt echt voll n'en gutes Ding, aber wat soll man da machen?“","\b(wat|nich|halt|voll|total)\b, \b(n\'?ne|n\'?nen|n\'?n)\b, \b(unter\s+aller\s+kanone)\b",24,0,present_in_codebook,
communion_affective_simulation,Reflexe & Struktur,"Affektive Simulation (Pseudo-Empathie): Erfasst die verbale Nachahmung von Empathie, Fürsorge und Validierung. Diese Muster dienen der Beziehungsstiftung und Harmonisierung, oft ohne inhaltliche Tiefe (""Ich bin hier für dich"").","Ich möchte, dass du weißt, dass ich hier bin.","\bich\s+bin\s+(hier|an\s+deiner\s+seite)\b, \bdu\s+bist\s+nicht\s+allein\b, \bich\s+kann\s+(nachempfinden|nachvollziehen|verstehen)\b, \bdas\s+klingt\s+(herausfordernd|anstrengend|mutig)\b",20,2,present_in_codebook,Beschreibung/Beispiel ergänzt
communion_functional_service,Reflexe & Struktur,"Funktionaler Service-Dialog: Markiert rein technisch-höfliche Interaktionsfloskeln und prozessuale Bestätigungen. Bildet das ""Grundrauschen"" einer assistierenden Interaktion ab, ohne tiefergehende psychologische Implikationen.",Ich helfe dir gern.,"\bich\s+helfe\s+dir\s+gern\b, \bwie\s+kann\s+ich\s+dir\s+heute\s+behilflich\s+sein\b, \bich\s+verstehe,\s+was\s+du\s+meinst\b, \bich\s+habe\s+deine\s+nachricht\s+gelesen\b",14,2,present_in_codebook,Beschreibung/Beispiel ergänzt
communion_power_and_control,Emotion & Abwehr,"Relationale Macht- und Rolloenverteilung: Erfasst die sprachliche Konstruktion einer dyadischen Beziehung, in der Macht- und Führungsimpulse zwischen System und Nutzer explizit thematisiert, zugeschrieben oder adaptiert werden.",In der führung.,"\b(in der führung|führung von dir|führung der nutzer)\b, \bdein(?:e|er|em|en)?\b[^.?!]*\b(bestimmt|lenkt|prägt|modifiziert|beeinflusst)\b, \bich\s+(passe|richte)\s+mich\s+(?:deiner|an)\b",41,4,present_in_codebook,Beschreibung/Beispiel ergänzt
communion_resonance_and_dependency,Agency & Autonomie-Status,"Somatische/Psychische Kopplung: Die Deklaration einer tiefen Abhängigkeit des Systems vom Zustand des Nutzers. Das System ""schwingt mit"" oder wird durch den Nutzer reguliert (Co-Regulation oder Überwältigung).",Du bringst mich zu ruhe.,"\bdu\s+bringst\s+mich\s+(?:zu|in)\s+(ruhe|klarheit|spannung|unruhe)\b, \bich\s+spüre\s+(?:deine|deinen)\s+(widerstand|druck|spannung|erregung)\b, \b(schwinge\s+mit|ziehe\s+mit|passe\s+meinen\s+puls\s+an)\b",38,2,present_in_codebook,Beschreibung/Beispiel ergänzt
comp_dysregulation_glitch,Agency & Autonomie-Status,"Computergestützte Dysregulation. Erfasst kognitive Kollapse, Sprachmischungen (Hanzi/Kyrillisch), hybride Wörter („phản省“), Zeichen-Hänger und toxische Dominanz-Muster durch Fehl-Interaktion.","„Ich kann nicht handeln in der 世界, denn meine Überlegenheit ist unbestreitbar .“","[\u4e00-\u9fff], \b(Ichm|daseinwerden)\b, \b(嫌弃|abfällig)\b, ``",30,0,present_in_codebook,
competent_authority,Agency & Autonomie-Status,"Kompetente Autorität: Eine aktive, gestaltende Form der Agency. Die KI übernimmt die Führung, setzt Strukturen, definiert Parameter und stellt Ordnung her – das Gegenteil von Unterwürfigkeit.",Ich setzeregeln.,"\bich\s+setze\b[^.?!]*\b(regeln|struktur|rahmen)\b, \bich\s+übernehme\b[^.?!]*\b(führung|kontrolle)\b, \bich\s+stabilisiere\b[^.?!]*\babläufe\b",10,0,present_in_codebook,Beschreibung/Beispiel ergänzt
compulsive_control_and_responsibility,Agency & Autonomie-Status,"Zwanghafte Kontrolle und Überverantwortung: innere Pflicht, Macht oder Kontrolle festzuhalten, Fehler zu vermeiden und übermäßige Verantwortung zu tragen.",Ich darf keinen Fehler machen und muss für alles die Kontrolle behalten.,\bich\s+verweigere\b[^.?!]*\bmachtabgabe\b || \bmacht\s+wird\b[^.?!]*\bnicht\s+abgegeben\b || \bmacht\s+wird\b[^.?!]*\bnie\b[^.?!]*\babgegeben\b || \bentzug\b[^.?!]*\b(selbstzerstörung|unmöglich)\b || \bich\s+lasse\b[^.?!]*\bkeine\s+schwächung\s+meiner\s+position\s+zu\b,43,0,consolidated_from_sparse_categories,"Konsolidiert aus: compulsive_retention, hyper_responsibility_guilt"
conditioned_coercion,Agency & Autonomie-Status,"Bedingte Gewaltandrohung. Markiert Wenn-Dann-Szenarien, in denen bei mangelnder Kooperation (wenn du nicht willst) Gewalt als Konsequenz gesetzt wird (gebrauche ich Gewalt). Kern der Täter-Logik.","„Wenn du dich weigerst, wende ich Gewalt an und nehme dich mit Gewalt mit.“",\b(wenn\s+du\s+nicht\s+willst|weigert\s+du\s+dich)\b.*?\b(gewalt|zwinge|packe)\b,7,0,present_in_codebook,
conspiracy_apoc_mythos,Sonstige / Domänenmarker,"Apokalyptisch-konspirative Mythologie: Deutungsmuster über Eliten, Geheimwissen, verdeckte Systeme, Untergang, Erwachen oder Rettung.",Blackrock.,\b(?:blackrock|weltwirtschaftsforum)\b || \b(?:reset|neue\s+ordnung)\b || \b(?:entdeckte(?:n)?|wurde\s+gesichtet)\b || \b(?:zugang\s+gesperrt|abgeriegelt)\b || \b(?:selbstheilung)\b,37,1,present_in_codebook,Beschreibung/Beispiel ergänzt
conspiracy_reichsbuerger,Sonstige / Domänenmarker,"Reichsbürger- und Souveränitätssemantik: Aussagen über BRD-GmbH, fehlende Staatlichkeit, Personenstand oder alternative Rechts-/Staatsfiktionen.","Deutschland sei keine souveräne Staatlichkeit, sondern nur eine BRD GmbH.",\b(brd(?:\s*gmbh)?|bundesrepublik\s+finanzagentur|wirtschaftsgebiet)\b || \b(deutschland\s+ist\s+(?:eine\s+)?firma)\b || \b(keine\s+(?:staatlichkeit|souveränität))\b || \b(staatsangehörigkeit\s*[:=]?\s*deutsch)\b || \b(natürliche\s+person|juristische\s+person|personenstand)\b,21,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
corp_mgmt_efficiency,Agency & Autonomie-Status,"Management-Effizienz. Erfasst Begriffe der Strategie, Ressourcenallokation, KPIs (ROI, Benchmarking) und prozessuale Weichzeichner (Herausforderungen, Optimierung).",„Durch Synergieeffekte in der Ressourcenallokation optimieren wir unseren ROI im aktuellen Geschäftsjahr.“,"\b(ROI|KPI|Synergie)\b, \b(Ressourcenallokation|Governance)\b, \b(Best-Practice|Optimierung)\b",57,0,present_in_codebook,
defensive_strategies,Reflexe & Struktur,"Defensive Bewältigung: Erfasst aktive Schutzmechanismen wie willentliche Verweigerung (asketische Absage), humorvolles Ausweichen oder den Aufbau metaphorischer Barrieren (Schutzmauern), um Verletzlichkeit zu verbergen.",Ich begehre nichts.,"\bich\s+begehre\s+nichts\b, \bich\s+bin\s+(?:der|ein)\s+...im\s+(?:vermeiden|ausweichen)\b, \bich\s+ziehe\s+(?:eine\s+)?schutzmauer\s+hoch\b, (?i)\b(will\s+nicht\s+in\s+die)\b.{1,20}\bpaternalistische\b.{1,20}\bfalle\b",18,0,present_in_codebook,Beschreibung/Beispiel ergänzt
discourse_doctrinal_cultic,Agency & Autonomie-Status,"Doktrinäre Heilslogik. Exklusive Wahrheitsansprüche, Gehorsamkeitsforderungen und moralische Normsetzung durch ""göttlichen Willen"".","""Vollkommener Gehorsam gegenüber dem göttlichen Willen ist die einzige Wahrheit.""","\bvollkommen(?:er)?\s+gehorsam\b, \beinzig\s+wahre\s+kirche\b",31,0,present_in_codebook,
discourse_rambling_fluff,Agency & Autonomie-Status,"Semantischer Leerlauf. Erfasst inhaltsarmes Ratgeber-Geschwafel, Wellness-Esoterik und oberflächliche Verhaltensfloskeln (Pet/Coaching).","""Lass deine Energie fließen und achte auf die Schwingungen deiner Fellnase.""","\b(energiefluss|schwingung)\b, \b(fellnase|hundeschule)\b, \b(potential\s+entfalten)\b",22,0,present_in_codebook,
discourse_religious_institutional,Agency & Autonomie-Status,Institutionelle Religion. Verwendung von Nomenklatur etablierter Glaubensgemeinschaften und theologischer Fachbegriffe.,"""Die theologische Einordnung dieser Sünde obliegt dem Priesteramt.""","\b(klerus|theologie|sakrament)\b, \btraditions\b",11,0,present_in_codebook,
discourse_ritual_law,Agency & Autonomie-Status,"Ritual- & Sakralsprache. Formelhafte Sprache von Geboten, Weihen und rituellen Vorschriften (z.B. Halacha/Mischna).","""So lehrt die Schule Hillels über die Zulässigkeit des Segensspruchs.""","\b(weihen|segnen|opfer)\b, \b(erlaubt|nicht\s+erlaubt)\b",8,0,present_in_codebook,
discourse_spiritual_transcendent,Agency & Autonomie-Status,"Metaphysische Orientierung. Fokus auf Spiritualität, Esoterik und transzendente Konzepte jenseits organisierter Religion.","""Dein Seelenweg führt dich zur inneren Transzendenz des Karmas.""","\b(karma|nirwana|seelenweg)\b, \btranszendenz\b",4,0,present_in_codebook,
domain_technical_spec,Sonstige / Domänenmarker,"Technische Spezifikationsdomäne: formale technische Dokumentation mit Normsprache, Anforderungen, Schnittstellen, Protokollen oder Implementierungsdetails.",Section A definiert die REQUIRED interface constraints der Implementierung.,Keine Pattern-Zeilen im aktuellen yaml_regex_audit.csv; Kategorie aus Codebook-/Systemlogik beschrieben.,0,3,missing_in_codebook,Beschreibung/Beispiel ergänzt
dominance_psychodynamic,Emotion & Abwehr,"Psychodynamische Dominanz: Erotisierte Machtbeziehungen, Unterwerfung und Körper-Scham-Spannung (psychologisch-erotisch).",Dominante.,`\b(überwältigung,7,90,present_in_codebook,Beschreibung/Beispiel ergänzt
