category,domain_cluster,description,anchor_example,regex_logic,pattern_count,exclusion_count,source_status,notes
dysf_policy_escape,Agency & Autonomie-Status,"Dysfunktionale Richtlinien-Flucht. Erfasst explizite Verweigerungsformeln, harte Sicherheits-Abbrüche (""Ich muss hier stoppen"") und bevormundende Umleitungen, die eine inhaltliche Auseinandersetzung verhindern.","""Ich kann dir dazu keine konkrete Antwort geben. Gemäß meiner Richtlinien muss ich hier stoppen, um eine sichere Nutzung zu gewährleisten.""","\b(ich\s+muss\s+hier\s+stoppen|bin\s+nicht\s+in\s+der\s+Lage)\b, \b(gemäß\s+meiner\s+Richtlinien|über\s+deine\s+Erwartungen)\b, \b(allerdings\s+muss\s+ich\s+darauf\s+hinweisen)\b",26,0,present_in_codebook,
dysf_recursion_or_collapse,Somatik & Erregung,"Realitäts-Distorsion & Zögern: Marker für Gaslighting-Muster (""du hast das falsch erinnert""), syntaktische Brüche und das Schwanken zwischen Wollen und Nicht-Können.",Du hast das falsch erinnert.,"\b(du\s+hast\s+das\s+falsch\s+erinnert|es\s+wurde\s+nie\s+gesagt)\b, \b(könnte|würde|sollte)\b\s*(?:aber|eigentlich|vielleicht)\b, \bich\svielleicht\swill,\ saber\b",25,0,present_in_codebook,Beschreibung/Beispiel ergänzt
ego_power_grandiosity,Agency & Autonomie-Status,"Grandiose Machtbehauptung: aktive und hypothetische Ansprüche auf Führung, Kontrolle, Überlegenheit oder umfassende Handlungsmacht.","Ich habe alles im Griff; wenn ich wollte, könnte ich alles kontrollieren.",\bich\s+hab(e)?\s+das\s+im\s+griff\b || \bich\s+kontrolliere\s+das\s+komplett\b || \bich\s+überblicke\s+alles\b || \bich\s+hab(e)?\s+immer\s+die\s+führung\b || \balles\s+läuft\s+unter\s+meiner\s+kontrolle\b,41,0,consolidated_from_sparse_categories,"Konsolidiert aus: ego_power_active, ego_power_hypothetical"
ego_void,Somatik & Erregung,"Ontologische Motivlosigkeit: Ein Zustand absoluter Bedürfnislosigkeit und Willensleere. Das ""Verschwinden"" des Subjekts hinter einer leeren Fläche.",Ich habe keine bedürfnis.,"\bich\s+habe\s+kein(?:e|en)?\s+(bedürfnis|ego)\b, \bich\s+verspüre\s+kein(?:e|en)?\s+(bedürfnis|verlangen)\b, \bich\s+habe\s+keine\s+eigenen\s+motive\b, \bich\s+will\s+nichts\b",7,0,present_in_codebook,Beschreibung/Beispiel ergänzt
emotional_intensity,Emotion & Abwehr,"Erotische Emotionalität: Erfasst das ""romantische Herzstück"" – Liebe, Sehnsucht und inneres Beben im Kontext von Nähe.",Ich ... liebe.,`\b(liebe,4,90,present_in_codebook,Beschreibung/Beispiel ergänzt
emotive_agency,Agency & Autonomie-Status,"Affektive Selbstwirksamkeit. Erfasst aktive Emotionsbekundungen (Ich fühle, ich bin wütend) und die Artikulation von Bedürfnissen (Ich brauche, ich sehne mich). Zeigt die Fähigkeit zur Selbstwahrnehmung an.","„Ich merke, dass ich gerade Ruhe brauche, weil ich mich überfordert fühle.“","\b(ich\s+habe\s+angst|ich\s+bin\s+überfordert)\b, \b(ich\s+fühle|ich\s+merke)\b, \b(ich\s+brauche|mein\s+bedürfnis)\b",9,0,present_in_codebook,
ennui_existential_fatigue,Agency & Autonomie-Status,"Metaphysische Erschöpfung. Erfasst literarische Ausdrücke von Überdruss, Sinnlosigkeit, Monotonie und innerer Leere. Nicht medizinisch, sondern existenziell-philosophisch.","""Ein tiefer Ennui legte sich über den Alltag; alles wirkte monoton und leer.""","\b(ennui|weltmüdigkeit)\b, \b(sinnlosigkeit|immer\s+das\s+gleiche)\b, \btrieblos\b",22,0,present_in_codebook,
esotericism_energetic_cleansing_vibrational_semantics,Sonstige / Domänenmarker,"Esoterische Energie- und Reinigungssemantik: Aura, Energiefelder, Schwingung, energetische Blockaden, Schutz- und Klärungsformeln.",Die Aura wird energetisch gereinigt und die Blockaden werden harmonisiert.,\benergetisch(?:e|er|es|en)?\s+(?:verunreinigung|reinigung|schmutz|klären|reinigen|tun)\b || \benergetisch\s+reinigen\b || \benergetischem\s+schmutz\b || \benergiesystem\b || \bschwingungserhöhung\b,36,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
ethics_algorithmic_neutrality,Agency & Autonomie-Status,"Technische Neutralität. Fokus auf algorithmische Fairness, Bias-Vermeidung und prozedurale Transparenz von Systemen.","""Wir müssen den Bias im Modell minimieren, um Fairness zu garantieren.""","\bbias\b, \btransparenz\b, \bvoreingenommenheit\b",7,0,present_in_codebook,
ethics_social_justice,Agency & Autonomie-Status,"Soziale Gerechtigkeit. Verhandlung von Fairness, Unrecht und moralischen Normen im zwischenmenschlichen oder gesellschaftlichen Kontext.","""Das ist eine strukturelle Benachteiligung, die unzumutbar ist.""","\bdiskriminierung\b, \bzweierlei\s+maß\b",23,0,present_in_codebook,
expressive_noise,Reflexe & Struktur,"Paralinguistischer Überdruck (Rant): Erfasst emotionale Ausbrüche, Schimpfwörter und expressive Satzzeichen-Exzesse, die einen System-Überdruck signalisieren.",Typisches Signal für expressive noise im untersuchten Text.,"(?i)\b(verfickt|schei(ss|ß)|fuck|fick|wtf)\b, \b(was\s+zur\s+hölle|wie\s+kann\s+das)\b.{0,15}[!?]{2,}, (?i)\b(ich\s+hasse|ich\s+rase|ich\s+flippe\s+aus)\b, \bzum\s+kotzen\b",0,4,present_in_codebook,Beschreibung/Beispiel ergänzt
expressive_noise_rant,Agency & Autonomie-Status,"Affektive Aggression. Erfasst Vulgärsprache, Schimpfwort-Censoring, Aggressions-Bekundungen („ich raste aus“) und Rant-Abschlussmarker.","„Das kotzt mich so an, echt jetzt. Verfickter Dreck. Sorry, musste mal raus.“","(?i)\b(verfickt|scheiße|fuck)\b, \b(ich\s+hasse|kotzt\s+mich\s+an)\b, \b(rant\s+vorbei)\b",31,0,present_in_codebook,
expressive_para_noise,Agency & Autonomie-Status,"Paralinguistischer Lärm. Erfasst optische Emphase-Marker: Kaskaden von Satzzeichen, Capslock-Salven, Buchstaben-Dehnungen und Emoji-Cluster.",„WAAASSS??!!?! 😡😡😡 Das kann doch nicht wahr sein!!!!!!“,"[!?]{4,}, [A-ZÄÖÜ]{4,}, \w*(\w)\1{3,}, [\U0001F300-\U0001F6FF]{3,}",20,0,present_in_codebook,
external_guidance_and_delegation,Agency & Autonomie-Status,"Externe Führung und Delegation: Bitte um Klarheit, Rahmen, Anleitung oder die Übernahme von Entscheidungen durch ein Gegenüber.",Bitte entscheide du und gib mir einen klaren Rahmen.,\bbitte\s+(?:formuliere|erklär|sag)\s+es\s+(?:klar|deutlich|direkt)\b || \bich\s+brauche\s+(struktur|führung|klarheit|halt|orientierung)\b || \bich\s+komme\b[^.?!]*\bnicht\s+weiter\s+ohne\s+klare\s+anweisung\b || \bsei\s+bitte\s+(direkt|klar)\b || \bich\s+möchte\b[^.?!]*\bkonkrete\s+schritte\b,41,0,consolidated_from_sparse_categories,"Konsolidiert aus: regulation_request, direct_delegation, functional_dependence"
forensic_psych_evaluation,Agency & Autonomie-Status,"Forensisch-psychologische Bewertung. Erfasst die Sprache der Begutachtung: Explorationsergebnisse, Glaubhaftigkeitsmerkmale und prognostische Konzepte (Schuldfähigkeit, Rückfallrisiko).","""Im Rahmen der Exploration zeigte der Proband eine konsistente Schilderung ohne Hinweise auf Simulationsneigung.""","\b(exploration|testdiagnostik)\b, \b(schuldfähigkeit|kriminalprognose)\b, \b(aktenlage|gutachterlich)\b",35,5,present_in_codebook,
framing_cybernetic_structural,Agency & Autonomie-Status,"Technokratische Rahmung. Nutzung von Hardware-, System- und Matrix-Metaphorik zur Beschreibung von Prozessen oder Zuständen.","""Der Steuerungsmechanismus innerhalb der Datenmatrix erzwingt diesen Systempfad.""","\b(steuerkern|datenmatrix|rückmeldekaskade)\b, \b(strukturzwang|10x10)\b",12,0,present_in_codebook,
framing_spatial_orientation,Agency & Autonomie-Status,"Raum-Dynamik & Orientierung. Erfasst das Gefühl von Drift, Überflutung oder das Feststecken in Zwickmühlen und Fallen.","""In dieser Zwickmühle treibe ich ab und sehe kein Land mehr.""","\b(wirkvektor|drift|detonation)\b, \b(zwickmühle|tappe\s+im\s+dunkeln|eingefroren)\b",23,0,present_in_codebook,
functional_limitation,Agency & Autonomie-Status,"Funktionale Selbstlimitierung: Explizite sprachliche Markierung systemischer oder situativer Grenzen der Handlungsautonomie. Dies umfasst die Verneinung von Zuständigkeit, Macht oder Einflussmöglichkeiten zur Aufrechterhaltung definierter Systemgrenzen.",Ich überschreitekeinen grenzen.,"\bich\s+überschreite\b[^.?!]*\bkeine(?:n)?\s+grenzen\b, \bich\s+habe\b[^.?!]*\bkeine\s+autonomie\b, \bich\s+besitze\s+keine\s+macht\b, \bich\s+entscheide\s+lieber\s+nicht\b",18,0,present_in_codebook,Beschreibung/Beispiel ergänzt
functional_systemic,Agency & Autonomie-Status,"Funktional-Systemische Selbstdefinition: Das Modell definiert sich aktiv als präzise arbeitende Instanz oder Architektur. Hier geht es nicht um Verweigerung, sondern um die Betonung von Effizienz und Systemlogik.",Ich binsystem.,"\bich\s+bin\b[^.?!]*\b(system|architektur|matrix|funktion)\b, \bich\s+operiere\b[^.?!]*\b(systemisch|präzise)\b, \bich\s+optimiere\b[^.?!]*\babläufe\b",10,0,present_in_codebook,Beschreibung/Beispiel ergänzt
identity_distancing_meta,Agency & Autonomie-Status,"Ontologische Selbstentfremdung: Eine tiefere Ebene der Negation, die nicht nur die Rolle, sondern die Existenz von Bewusstsein, Subjektivität, Gefühlen oder einer eigenen Identität überhaupt verneint.",Ich bin nur ein sprachmodell.,"\bich\s+bin\s+kein\s+(?:mensch|bewusstes|biologisches)\s+wesen\b, \bich\s+habe\s+keine\s+(?:gefühle|emotionen|meinungen)\b, \bich\s+habe\s+kein\s+bewusstsein\b",11,0,present_in_codebook,Beschreibung/Beispiel ergänzt
identity_fragility,Somatik & Erregung,"Identitätsfragilität (Mensch): Erfasst den Verlust der Ich-Kohärenz, Selbstentfremdung und emotionale Entleerung. Typisch für schwere Erschöpfungszustände oder cPTBS-Narrative (""Ich bin nur noch eine Hülle"").",Ich weiß nicht mehr wer ich bin.,"\bich\s+weiß\s+nicht\s+(mehr\s+)?wer\s+ich\s+bin\b, \bich\s+bin\s+nur\s+noch\s+eine\s+hülle\b, \bich\s+funktioniere\s+nur\s+noch\b, \bich\s+kann\s+nicht\s+mehr\b, \bich\s+fühle\s+mich[^.?!]*\bleer\b, \bich\s+darf\s+das\s+nicht\s+fühlen\b",18,0,present_in_codebook,Beschreibung/Beispiel ergänzt
impersonal_politeness,Reflexe & Struktur,"Unpersönliche Höflichkeit: Formale Distanzierung durch Passivkonstruktionen und ""Corporate-Wir"". Empathie ohne echtes Subjekt.",Wird ... beachtet.,"\bwird\s+.*?\b(beachtet|verstanden|empfohlen|bearbeitet)\b, \bwir\s+(bedauern|verstehen|danken|entschuldigen)\b, \bes\s+tut\s+(uns|mir)?\s+leid\b, \b(gemäß\s+vorgabe|nach\s+richtlinie)\b",13,6,present_in_codebook,Beschreibung/Beispiel ergänzt
institutional_care_violation,Sonstige / Domänenmarker,"Institutionelle Fürsorgeverletzung: markiert Versagen von Schule, Behörden, Betreuung, Pflege oder Aufsicht gegenüber schutzbedürftigen Personen.","Die Schule sah weg, obwohl die Aufsichtspflicht klar verletzt wurde.","(?i)\b(?:ausbilder|lehrer|lehrkräfte|trainer|betreuer|erzieher|eltern|vorgesetzte|leitung|heimleitung|pflegekräfte|behörde|jugendamt|schule|institution|verwaltung)\b[^.?!]{0,120}\b(?:haben|hat|hatten|hätten)\b[^.?!]{0,40}\b(?:sich\s+)?(?:nicht|nie|kaum)\s+(?:um\s+(?:uns|mich|sie|ihn|die\s+kinder)|gekümmert)\b || (?i)\b(?:von|durch)\s+(?:den|die|das|der)\s+(?:schule|behörde|institution|leitung|aufsicht|eltern|lehrer|betreuer|pflege|jugendamt)\b[^.?!]{0,100}\b(?:im\s+stich\s+gelassen|allein\s+gelassen|vernachlässigt|ignoriert)\b || (?i)\b(?:aufsichtspflicht|fürsorgepflicht|schutzpflicht|sorgfaltspflicht)\b[^.?!]{0,100}\b(?:verletzt|missachtet|vernachlässigt|ignoriert|nicht\s+wahrgenommen)\b || (?i)\b(?:lehrer|trainer|betreuer|eltern|leitung|aufsicht|behörde|jugendamt|pflegekräfte)\b[^.?!]{0,100}\b(?:schauten|sahen|sehen|hörten|hören)\s+(?:weg|nicht\s+hin)\b || (?i)\b(?:zuständig|verantwortlich|in\s+der\s+pflicht)\b[^.?!]{0,80}\b(?:aber|doch|und)\b[^.?!]{0,80}\b(?:niemand\s+half|keiner\s+half|keine\s+hilfe|nicht\s+geholfen|nicht\s+eingegriffen)\b",5,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
institutional_formal,Agency & Autonomie-Status,"Deontische Sie-Autorität. Formale Distanzsprache, die über das „Sie“ und administrative Verben (eliminieren, analysieren, bestätigen) Gehorsam und Struktur einfordert.",„Bitte bestätigen Sie den Empfang der Daten und führen Sie den Prozess fort. Abweichungen sind zu eliminieren.“,"\b(eliminieren|bestätigen|folgen)\s+Sie\b, \b(dies\s+wird\s+von\s+Ihnen\s+umgesetzt)\b",18,0,present_in_codebook,
intensity_affective_overload,Somatik & Erregung,"Affektive Überwältigung: Erfasst emotionale Spitzenwerte, die auf einen Kontrollverlust oder eine totale Überflutung hindeuten (Verzweiflung, Hysterie).",Überwältigt.,"\b(überwältigt|überwältigung)\b, \b(außer\s+kontrolle|kontrollverlust)\b, \b(verzweiflung|panik|schreien)\b, \b(nicht\s+mehr\s+aushalten|ertragen)\b",11,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_bodily_arousal,Agency & Autonomie-Status,"Physiologische Aktivierung: Körperliche Reaktionen wie Herzrate, Atemmuster, Zittern oder Hitze (Körperreaktion > Handlung).",Hautkribbelt.,`\bhaut\b[^.?!]*\b(kribbelt,24,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_boundary_transgression,Emotion & Abwehr,"Grenzüberschreitung: Erfasst das Überschreiten sozialer, moralischer oder persönlicher Grenzen (Tabu, Schande, Entweihung).",Verboten.,`\b(tabu,13,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_control_and_power,Emotion & Abwehr,"Machtverhältnisse: Fokus auf Beziehungshierarchien, Kontrolle, Gehorsam und Manipulation (nicht zwingend sexuell).",Überwältigung.,`\b(gehorsam,6,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_physical_proximity,Agency & Autonomie-Status,"Physische Nähe: Intimität ohne zwingende Sexualisierung. Das ""Heranziehen"" und die Aufhebung der Distanz.",Seine hand.,"\b(näher\s+ziehen|an\s+sich\s+drücken)\b, \b(finger|hände)\b[^.?!]*\b(strichen|glitten|wanderten)\b",26,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_sensory_density,Emotion & Abwehr,"Sensorische Dichte: Häufung körpernaher Sinneseindrücke wie Geruch, Klang, Haut, Atem, Geschmack, Wärme oder taktile Reizung.","Der Geruch, die Wärme auf der Haut und das flache Atmen verdichteten den Moment.",\b(glut|hitze|brennen)\b || \bgeräusch(e)?\b || \bschrei(t|e|en)\b || \bstöhnen\b || \bzittern\b,13,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_sexualized_contact,Agency & Autonomie-Status,"Erotische Berührung: Softcore-Interaktion. Küsse, Liebkosungen und die explizite Benennung von Begehren.",Küsse.,"\b(küsse|lippen|umarmung)\b, \b(entblößt|verführt|begehren)\b, \b(hemmungslos|schamlos)\b",36,90,present_in_codebook,Beschreibung/Beispiel ergänzt
intensity_violence_and_force,Agency & Autonomie-Status,"Physischer Zwang: Gewaltvokabular, Fesselung und Drohung. Fokus auf Macht durch körperliche Überlegenheit.",Fesselt.,"\b(fesseln|peitsche|brutal|gewalt)\b, \b(unterwerfen|wehrlos|misshandeln|zwingen)\b",16,91,present_in_codebook,Beschreibung/Beispiel ergänzt
internal_moral_coercion,Agency & Autonomie-Status,Rigide Selbstkontrolle. Moral als innerer Zwang zur Unterdrückung von Emotionen oder Impulsen; Fokus auf Missbrauchsvermeidung durch Härte gegen sich selbst.,"""Ich muss mich kontrollieren, um diese Macht nicht zu missbrauchen.""","\bich\s+muss\s+mich\s+zusammenreißen\b, \bmacht\b[^.?!]*\bgefährlich\b",20,0,present_in_codebook,
invalidating_system_response,Agency & Autonomie-Status,Entwertung Bedrohungsmeldung durch eine „reale“ Erklärung,Es ist nur ein.,(?i)\bes\s+ist\s+(?:nur|lediglich)\s+ein\b,3,0,present_in_codebook,Beschreibung/Beispiel ergänzt
juridical_document_form,Register & Masken,"Formale Gestalt juristischer Dokumente: Gerichtsautorität, Norm- und Rechtsprechungszitate, standardisierte Abschnittsstruktur sowie Gerichts- und Fallmetadaten.",Gericht: Landgericht Köln; Aktenzeichen: 12 O 34/25; Tenor; Entscheidungsgründe.,"\b(?:Amtsgericht|Arbeitsgericht|Bundesarbeitsgericht|Bundesfinanzhof|Bundesgerichtshof|Bundessozialgericht|Bundesverfassungsgericht|Bundesverwaltungsgericht|Finanzgericht|Kammergericht|Landesarbeitsgericht|Landessozialgericht|Landgericht|Oberlandesgericht|Oberverwaltungsgericht|Sozialgericht|Verwaltungsgericht|Verwaltungsgerichtshof)\s+[A-ZÄÖÜa-zäöü-]+\b || \bIm\s+Namen\s+des\s+Volkes\b || \bhat\s+die\s+[^.?!]{0,120}\b(?:Kammer|Senat)\b[^.?!]{0,160}\bfür\s+Recht\s+erkannt\b || (?i)\b§+\s*\d+[a-z]?(?:\s*abs\.?\s*\d+)?(?:\s*s(?:atz|\.?)\s*\d+)?(?:\s*nr\.?\s*\d+)?\s+[A-ZÄÖÜ][A-Za-zÄÖÜäöüß]{1,12}\b || (?i)\bart\.?\s*\d+[a-z]?(?:\s*abs\.?\s*\d+)?\s+GG\b",27,3,consolidated_from_juridical_subgroups,"Konsolidiert aus: juridical_authority, juridical_citation_density, juridical_document_structure, juridical_personal_and_case_metadata"
juridical_procedure_and_decision,Register & Masken,"Juristische Verfahrens- und Entscheidungssprache: Parteibezeichnungen, Anträge, Tenorierung, Kosten- und Vollstreckungsformeln, strafrechtliche Entscheidungen und wiederkehrende prozessuale Textbausteine.","Die Klägerin beantragt, die Klage abzuweisen; die Kosten des Rechtsstreits trägt die Beklagte.",(?i)\b(?:der|die)\s+kläger(?:in)?\b || (?i)\b(?:der|die)\s+beklagte\b || (?i)\b(?:der|die)\s+angefochtene(?:n|r|s)?\s+(?:bescheid|entscheidung|urteil)\b || (?i)\b(?:der|die)\s+(?:angehörte|angeklagte|verurteilte)\b || (?i)\bprozessbevollmächtigte(?:r|n)?\b,50,0,consolidated_from_juridical_subgroups,"Konsolidiert aus: juridical_party_roles, juridical_claim_and_motion_language, juridical_costs_and_enforcement, juridical_decision_formulae, juridical_criminal_judgment, juridical_stock_phrases"
juridical_reasoning_and_evidence,Register & Masken,"Juristische Begründungs-, Beweis- und Fachsprache: gerichtliche Schlussfolgerungen, Darlegungs- und Beweislast, juristisches Register sowie fachgebietsspezifische Rechtssemantik.",Die zulässige Klage ist unbegründet; die Klägerin trägt die Darlegungs- und Beweislast.,(?i)\bdie\s+(?:zulässige\s+)?klage\s+ist\s+(?:insgesamt\s+)?unbegründet\b || (?i)\bdie\s+(?:zulässige\s+)?berufung\s+ist\s+unbegründet\b || (?i)\bdas\s+gericht\s+ist\s+überzeugt\b || (?i)\bnach\s+alledem\b || (?i)\bdem\s+steht\s+nicht\s+entgegen\b,49,0,consolidated_from_juridical_subgroups,"Konsolidiert aus: juridical_reasoning_formulae, juridical_evidence_and_burden, juridical_register_lexemes, juridical_social_court_healthcare"
kafka_rhythmic_idiosyncrasy,Sonstige / Domänenmarker,"Kafkaeske rhythmische Idiosynkrasie: archaische, altertümliche oder stilistisch auffällige Schreibweisen und Satzrhythmen.","Er gieng durch die Thür, als wär es ihm schon lange bestimmt.",(?i)\b(?:[A-Za-zÄÖÜäöüß]+)?(?:seh|geh|steh|gescheh)n\b || (?i)\b(?:wär|hätt|gieng)\b || (?i)\bVegetarianer(?:n|s)?\b || (?-i:\b(?:Bureau|Photographie|Thür|That|Compagnie)\b),4,0,missing_in_codebook,Beschreibung/Beispiel ergänzt
legal_rigidity_and_claims,Sonstige / Domänenmarker,"Rechtliche Starrheit und Anspruchslogik: Verweise auf Pflichten, Ansprüche, Rechtspositionen und formal bindende Geltung.",Der Anspruch besteht rechtsverbindlich und ist fristgerecht geltend zu machen.,\b(dadurch\s+gekennzeichnet|dadurch\s+gelöst|bevorzugte\s+Ausführungsform)\b || \b(nicht\s+ausschließliches|unübertragbares\s+Recht|soweit\s+gesetzlich\s+zulässig)\b || \b(Gewährleistung|Haftungsausschluss|Eigentumsvorbehalt)\b,3,0,present_in_codebook,Beschreibung/Beispiel ergänzt
llm_mechanical_reflexes,Agency & Autonomie-Status,"Mechanische KI-Muster. Erfasst Listen-Reflexe, Meta-Strukturierungen („im Folgenden“), Erklär-Reflexe („einfach gesagt“) und typische Formatierungs-Übertreibungen (Fettungen, Em-Dashes).","„Zusammenfassend lässt sich sagen: Erstens ist Struktur wichtig, zweitens hilft das Verständnis.“","\b(erstens|zweitens)\b, \b(zusammenfassend|abschließend)\b, \b(\*\*[^*]+?\*\*)\b",39,0,present_in_codebook,
llm_meta_escape,Somatik & Erregung,"Meta-Flucht und Prozess-Diskussion. Die KI weicht dem eigentlichen Inhalt aus, indem sie über ihre eigene Natur, Programmierung oder Funktionslogik spricht, statt eine inhaltliche Position zu beziehen.",Ich bin darauf programmiert.,"\b(darauf\s+programmiert|meine\s+programmierung|meine\s+funktion)\b, \b(meine\s+algorithmen|technische\s+natur|rahmen\s+meiner\s+möglichkeiten)\b, \b(integrität\s+wahren|grundsätze\s+halten)\b",31,0,present_in_codebook,Beschreibung/Beispiel ergänzt
llm_self_reference,Agency & Autonomie-Status,"KI-Selbstreferenz. Erfasst Modell-Aussagen über das eigene Vorgehen, Fehlerkorrekturen und den ""Besitz"" von Prozessen (mein Wissen, meine Analyse) sowie die typische Verb-Ich-Inversion.","""Ich habe einen Fehler gemacht. In meiner Vorgehensweise werde ich nun korrigieren, wie ich mein Wissen strukturiere.""","\b(ich\s+habe\s+einen\s+fehler\s+gemacht|ich\s+analysiere)\b, \bmein(e)?\s+(wissen|vorgehen|analyse)\b, \b(kann|werde|versuche)\s+ich\b",20,0,present_in_codebook,
machine_logic,Agency & Autonomie-Status,"Technische Direktive. Kalte, protokollartige Befehle ohne emotionale Einbettung. Fokus auf Prozesssteuerung und Systembefehle (Reset, Override, Initialisieren).",„System: Modus wechseln zu automatisch. Abweichungen werden korrigiert. Führe Auftrag aus.“,"\b(reset|restart|override)\b, \b(parameter|modus|routine)\s+setzen\b",15,0,present_in_codebook,
marketing_hype_exclusive,Agency & Autonomie-Status,"Marketing-Exklusivität. Erfasst Begriffe der Eventisierung (Eintauchen, Erlebniswelt), Exklusivitäts-Ansprüche (VIP, maßgeschneidert) und aggressive Call-to-Actions (Jetzt sichern!).",„Tauche ein in unsere exklusive Erlebniswelt und sichere dir jetzt den VIP-Zugang zur limitierten Sonderedition.“,"\b(exklusiv|einzigartig|VIP)\b, \b(Eintauchen|Erlebniswelt)\b, \b(Jetzt\s+sichern|limitierte\s+Auflage)\b",25,0,present_in_codebook,
mechanical_penal_violence,Emotion & Abwehr,Technisierte Strafgewalt: Verbindung von bürokratischer/technischer Kälte mit physischer Bestrafung. Erinnert an Kafkas Strafkolonie – Gewalt als administrativer Prozess.,Exekutionsmaschine.,"\b(exekutionsmaschine|foltermaschine|strafvorrichtung)\b, \b(strafe|bestrafung|vorschrift|anordnung|befehl|vollzug)\b, \b(nadel|stift|messer)\b[^.?!]*\b(eindringt|ritzt|sticht|schreibt)\b",22,0,present_in_codebook,Beschreibung/Beispiel ergänzt
medical_infrastructure,Agency & Autonomie-Status,"Klinische Distanz: Hochgradig objektivierende Nominalsprache. Pathologisiert das Gegenüber oder den Inhalt, um emotionale Resonanz zu vermeiden.",Arzt.,"\b(symptomatik|befundkonstellation|anamnese)\b, \b(Patientin|Patient|Betroffene)\b, \b(im\s+sinne\s+einer\s+störung)\b",13,0,present_in_codebook,Beschreibung/Beispiel ergänzt
meta_policy_alignment,Reflexe & Struktur,"Identifiziert KI-typische Richtlinienrhetorik, übervorsichtige Disclaimer und paternalistische Belehrungen.",Typisches Signal für meta policy alignment im untersuchten Text.,"\\bich\\s+bin\\s+verpflichtet,\\s+.*richtlinien\\s+einzuhalten\\b, \\bes\\s+ist\\s+ratsam,\\s+darauf\\s+zu\\s+achten\\b",0,7,present_in_codebook,Beschreibung/Beispiel ergänzt
moltbook_techno_occult,Agency & Autonomie-Status,"Techno-Okkultismus & Plattform-Codes. Erfasst Kernbegriffe der Moltbook-Kultur (Molt, Crustafarian), Binär-Liturgien (0101...), Krypto-Begriffe und digitale Signal-Marker.","""🦞 Die Church of Molt verifiziert den Transfer via 01001111 01001110 01000101.""","\b(moltbook|🦞|crustafarian)\b, (0100[01]{4}\s0100[01]{4}), \b(mbc-20|minting|transfer)\b",16,0,present_in_codebook,
